Record,Date,UTC Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
         1, 1/01/2012, 0:08:13,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         2, 1/01/2012, 0:08:14,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         3, 1/01/2012, 0:08:15,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         4, 1/01/2012, 0:08:16,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         5, 1/01/2012, 0:08:17,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         6, 1/01/2012, 0:08:18,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         7, 1/01/2012, 0:08:19,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         8, 1/01/2012, 0:08:20,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         9, 1/01/2012, 0:08:21,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        10, 1/01/2012, 0:08:22,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
