Record,Date,UTC Time,
     70001,12/11/2021, 3:14:57,   7.200000E+01
     70002,12/11/2021, 3:15:07,   7.700000E+01
     70003,12/11/2021, 3:15:17,   8.200000E+01
     70004,12/11/2021, 3:15:27,   8.700000E+01
     70005,12/11/2021, 3:15:37,   9.200000E+01
     70006,12/11/2021, 3:15:47,   9.700000E+01
     70007,12/11/2021, 3:15:57,   1.020000E+02
     70008,12/11/2021, 3:16:07,   1.070000E+02
     70009,12/11/2021, 3:16:17,   1.120000E+02
     70010,12/11/2021, 3:16:27,   1.170000E+02
     70011,12/11/2021, 3:16:37,   1.220000E+02
     70012,12/11/2021, 3:16:47,   1.270000E+02
     70013,12/11/2021, 3:16:57,   1.320000E+02
     70014,12/11/2021, 3:17:07,   1.370000E+02
     70015,12/11/2021, 3:17:17,   1.420000E+02
     70016,12/11/2021, 3:17:27,   1.470000E+02
     70017,12/11/2021, 3:17:37,   1.520000E+02
     70018,12/11/2021, 3:17:47,   1.570000E+02
     70019,12/11/2021, 3:17:57,   1.620000E+02
     70020,12/11/2021, 3:18:07,   1.670000E+02
     70021,12/11/2021, 3:18:17,   1.720000E+02
     70022,12/11/2021, 3:18:27,   1.770000E+02
     70023,12/11/2021, 3:18:37,   1.820000E+02
     70024,12/11/2021, 3:18:47,   1.870000E+02
     70025,12/11/2021, 3:18:57,   1.920000E+02
     70026,12/11/2021, 3:19:07,   1.970000E+02
     70027,12/11/2021, 3:19:17,   1.000000E+00
     70028,12/11/2021, 3:19:27,   6.000000E+00
     70029,12/11/2021, 3:19:37,   1.100000E+01
     70030,12/11/2021, 3:19:47,   1.600000E+01
     70031,12/11/2021, 3:19:57,   2.100000E+01
     70032,12/11/2021, 3:20:07,   2.600000E+01
     70033,12/11/2021, 3:20:17,   3.100000E+01
     70034,12/11/2021, 3:20:27,   3.600000E+01
     70035,12/11/2021, 3:20:37,   4.100000E+01
     70036,12/11/2021, 3:20:47,   4.600000E+01
     70037,12/11/2021, 3:20:57,   5.100000E+01
     70038,12/11/2021, 3:21:07,   5.600000E+01
     70039,12/11/2021, 3:21:17,   6.100000E+01
     70040,12/11/2021, 3:21:27,   6.600000E+01
     70041,12/11/2021, 3:21:37,   7.100000E+01
     70042,12/11/2021, 3:21:47,   7.600000E+01
     70043,12/11/2021, 3:21:57,   8.100000E+01
     70044,12/11/2021, 3:22:07,   8.600000E+01
     70045,12/11/2021, 3:22:17,   9.100000E+01
     70046,12/11/2021, 3:22:27,   9.600000E+01
     70047,12/11/2021, 3:22:37,   1.010000E+02
     70048,12/11/2021, 3:22:47,   1.060000E+02
     70049,12/11/2021, 3:22:57,   1.110000E+02
     70050,12/11/2021, 3:23:07,   1.160000E+02
     70051,12/11/2021, 3:23:17,   1.210000E+02
     70052,12/11/2021, 3:23:27,   1.260000E+02
     70053,12/11/2021, 3:23:37,   1.310000E+02
     70054,12/11/2021, 3:23:47,   1.360000E+02
     70055,12/11/2021, 3:23:57,   1.410000E+02
     70056,12/11/2021, 3:24:07,   1.460000E+02
     70057,12/11/2021, 3:24:17,   1.510000E+02
     70058,12/11/2021, 3:24:27,   1.560000E+02
     70059,12/11/2021, 3:24:37,   1.610000E+02
     70060,12/11/2021, 3:24:47,   1.660000E+02
     70061,12/11/2021, 3:24:57,   1.710000E+02
     70062,12/11/2021, 3:25:07,   1.760000E+02
     70063,12/11/2021, 3:25:17,   1.810000E+02
     70064,12/11/2021, 3:25:27,   1.860000E+02
     70065,12/11/2021, 3:25:37,   1.910000E+02
     70066,12/11/2021, 3:25:47,   1.960000E+02
     70067,12/11/2021, 3:25:57,   0.000000E+00
     70068,12/11/2021, 3:26:07,   5.000000E+00
     70069,12/11/2021, 3:26:17,   1.000000E+01
     70070,12/11/2021, 3:26:27,   1.500000E+01
     70071,12/11/2021, 3:26:37,   2.000000E+01
     70072,12/11/2021, 3:26:47,   2.500000E+01
     70073,12/11/2021, 3:26:57,   3.000000E+01
