Date,Item,Quantity,Price1,Price2,GainGP,GainMIL
20/11/2020,Cannonballs,29999,471,496,74.9975,"0.749975"
28.jûl,Teak plank,10000,263,276,130000,"0.13"
28.jûl,Soft Clay,20000,576,583,140000,"0.14"
28.jûl,Teak plank,18008,263,276,234104,"0.234104"
29.jûl,Molten glass,28106,175,216,1152346,"1.152346"
29.jûl,Rune arrowheads,10000,126,131,50000,"0.05"
29.jûl,Cannonballs,20000,471,496,500000,"0.5"
30.jûl,Cannonballs,20000,472,512,800000,"0.8"
30.jûl,Teak plank,518,13,274,135198,"0.135198"
30.jûl,Molten glass,15610,175,244,1077090,"1.07709"
31.jûl,Cannonballs,20534,452,502,1026700,"1.0267"
31.jûl,Cannonballs,33889,452,500,1626672,"1.626672"
31.jûl,Elder energy,50000,146,152,300000,"0.3"
31.jûl,Vibrant energy,50001,123,145,1100022,"1.100022"
01.aug,Vibrant energy,62888,123,144,1320648,"1.320648"
01.aug,Leather,1056,383,643,274560,"0.27456"
01.aug,Molten glass,20440,175,238,1287720,"1.28772"
01.aug,Cannonballs,20000,445,482,740000,"0.74"
01.aug,Molten glass,19243,174,211,711991,"0.711991"
01.aug,Cannonballs,19998,432,478,919908,"0.919908"
03.aug,Cannonballs,40000,430,477,1880000,"1.88"
03.aug,Soft Clay,30000,513,543,900000,"0.9"
04.aug,Vibrant energy,82484,123,144,1732164,"1.732164"
04.aug,Molten glass,10000,174,217,430000,"0.43"
04.aug,Cannonballs,20000,432,457,500000,"0.5"
04.aug,Vibrant energy,97133,123,148,2428325,"2.428325"
05.aug,Soft Clay,40000,525,598,2920000,"2.92"
06.aug,Bane platelegs,8,368,29999,237048,"0.237048"
06.aug,Cannonballs,20000,416,464,960000,"0.96"
07.aug,Bane platebody,19,26102,39400,252662,"0.252662"
07.aug,Soft Clay,21933,521,615,2061702,"2.061702"
07.aug,Vibrant energy,42240,123,144,887040,"0.88704"
07.aug,Soft Clay,20000,568,628,1200000,"1.2"
07.aug,Molten glass,13398,174,210,482328,"0.482328"
07.aug,Cannonballs,26810,416,460,1179640,"1.17964"
07.aug,Soft Clay,19998,569,647,1559844,"1.559844"
07.aug,Vibrant energy,35739,123,198,2680425,"2.680425"
07.aug,Soft Clay,23718,569,644,1778850,"1.77885"
08.aug,Molten glass,15138,173,190,257346,"0.257346"
08.aug,Soft Clay,17607,581,658,1355739,"1.355739"
08.aug,Molten glass,10207,173,201,285796,"0.285796"
08.aug,Cannonballs,20000,402,457,1100000,"1.1"
10.aug,Soft Clay,44991,576,619,1934613,"1.934613"
